ItemID,Sentiment,SentimentText
71,0,Liberty offers investors rare option of cash or bonus... http://t.co/RJV7QxVEXh
72,0,Deacons bags KES 406m from Woolworths... http://t.co/6FZnYU1sQY
73,0,Chase Group first quarter net profit jumps 61 per... http://t.co/GXOglRY05Q
74,0,Umeme seeks nod to issue shares for... http://t.co/nnjohKGPuy
75,0,"NSE Daily market Report- 29 April 2014 - In today’s session, the benchmark NSE 20 index slipped 0.03% to 4956.52... http://t.co/1EVMjkFgcu"
76,0,.Ecobank records 238pc profit jump after capital... http://t.co/lIbmsmuOpC
77,0,Family Bank posts 109 pc quarter one profit... http://t.co/PazMVieojd
78,0,"Kenya set for talks with IMF on fresh financing, reform... http://t.co/oye4MVqKCP"
79,0,Private equity group Actis to buy S.African credit... http://t.co/2Q6jeT2HUU
80,0,"NSE Daily market report- 25 April 2014.In today’s session, the market was characterized by upbeat trading as the... http://t.co/oNqHcfUMxE"
81,0,Uganda’s Economy May Grow 6.8% in 2014-15 on Energy... http://t.co/HRjrf4DPbB
82,0,Alibaba to launch world's biggest IPO this... http://t.co/EuMm9hQwcv
83,0,Actis invests in emerging markets mobile marketing company... http://t.co/Yy4rvsW3Nl
84,0,"Edward Burbidge, CEO, Burbidge Capital interview by CNBC Africa on Kenya as an investment destination... http://t.co/m2irJIm3CS"
85,0,Foreign investors cut stake in Britam by 90pc as local buyers spark price... http://t.co/iiRbrSBQ1V
86,1,Property sales lift Housing Finance earnings by... http://t.co/Ko52Fv1saO
87,0,Equity Bank share rises to five-week... http://t.co/UYIqUtUCOd
88,0,New policies to ease trade within the... http://t.co/28dJ8gfdl5
89,0,IFC Begins Marketing Rwanda Bond as Africa Debt Plan... http://t.co/V4fwwzeQlv
90,1,Carlyle private equity fund eyeing investments linked to emerging middle... http://t.co/gSxjvs7buR
91,0,Kenya: Lower interest rates attract bond market... http://t.co/B7S5IQzpJm
92,0,Expanding loan book buoys profits at Kenya's Equity... http://t.co/jE3GaS9Qsy
93,1,"NSE Daily Market update-9 May 2014 - At the closing session of the week, the NSE 20 index was up 0.03% to 4963.8... http://t.co/Il1KWut9ks"
94,1,NBK plans staff stock ownership to retain... http://t.co/FSq3VsfqHs
95,0,Regional units lift Diamond Trust’s net profit 19.4 per... http://t.co/u5KSdXTxMo
96,0,yuMobile says it has struck an exit deal with... http://t.co/757wsEDr0Q
97,0,Nakumatt eyes presence in all... http://t.co/LQtk1CL9Sy
98,0,Kenya: Bank credit exceeds CBK target for seventh... http://t.co/hOGJUZ5bLf
99,0,PVH Corporation Eyeing Investment Opportunities in... http://t.co/pxsw4qg5tI
100,0,"NSE Daily market report- 7 May 2014 - The equities market ended today’s session broadly unchanged, the NSE 20... http://t.co/GOEJ9S302p"
101,0,NIC Bank says Q1 2013 pretax profit... http://t.co/MwPCGAALDy
102,0,Sameer eyes tyre exports to Nigeria and... http://t.co/NI4ktmIjNs
103,1,Cargen eyes real estate development for its prime... http://t.co/DbGeZAHMCm
104,1,Sheba Investment to Acquire Majority Share in Ethiopia's Tobacco... http://t.co/OSxaoq8GEW
105,0,"NSE Daily market report- 7 May 2014-The equities market ended today’s session broadly unchanged, the NSE 20 index... http://t.co/bwg61PsBaJ"
106,0,Multinational companies pump cash into subsidiaries for optimal... http://t.co/N4ViC9HeLO
107,0,Ethiopia’s First Sovereign Credit Rating Due in Two... http://t.co/cq9Ub5Q2fv
108,1,Indian Company to Build Africa’s Largest Cotton Mill in... http://t.co/8X2hof1PYr
109,0,Jacana: SME Private Equity Casualty...http://t.co/0kVtKMGjPD http://t.co/C3okoMdxUu
110,0,Deacons bags Sh406m from Woolworths deal http://t.co/W4cZjVu4su
111,0,"NSE daily market report - 2nd May.In the day’s session, the NSE 20 index gained 0.2%  to 4959.91 points while... http://t.co/iiQo7wlmVy"
112,0,"MTN, Viettel and UK firm bid for Orange Kenya... http://t.co/F2eF2lxBJG"
113,1,Ugandan central bank holds rates for fifth... http://t.co/6tWMUQZNk7
114,1,Sameer inks deal with China firm for cheaper... http://t.co/lIY4SxxL0b
115,1,BAT Kenya commits to 100 per cent dividend... http://t.co/JyUhbc9TUu
116,0,Kenya surges to second place in Africa FDI... http://t.co/toN1xGOGZY
117,1,FDI in sub-Saharan Africa on... http://t.co/4DODKjfhkp
118,1,Burbidge Capital's latest monthly newsletter sponsored by EFG... http://t.co/6AhtvN0Pfw
119,0,NIC raises stake in stockbrokerage... http://t.co/IxCsEmi9iI
120,0,CMA opens window for retailers to buy Umeme... http://t.co/b2s4kwNu5U
121,0,Kenyan firms keep rivals guessing with big cash... http://t.co/gKKz53axDG
122,0,Consultancy values Kenya’s proven oil reserve at KES... http://t.co/qpL5i3hOim
123,0,Kenya Aims At Doubling FDI In 2014..http://t.co/U0ktsLgeTu http://t.co/cgeDL3LVsp
124,0,"Ethiopia says ""not yet decided"" on any Eurobond... http://t.co/SYKhhPCWzl"
125,0,"NSE Daily market report- 14 May 2014:In today’s session,   the bourse turnover declined 45.7% to KES 600.2m with... http://t.co/0piw2S7DIw"
126,0,"NSE raises share capital, plans futures exchange ahead of... http://t.co/wENbo80DaK"
127,0,US hotel chain opens in... http://t.co/FD9gdyjYX3
128,1,IMF predicts 6pc economic growth for... http://t.co/nydWjwrHoA
129,1,"NSE Daily market report- 13 May 2014:In today’s session,  the bourse turnover jumped 96.2% to KES 1.10bn with... http://t.co/V3YzzC1zrH"
130,0,Kenyan Startup To Produce Africa’s Cheapest... http://t.co/7GREPk1kNd
131,0,Safaricom raises dividend payout to KES 19... http://t.co/vDZoxwyTCU
132,0,Africa Secures USD 68bn Investments Following... http://t.co/TT4gJ3MvEN
133,0,NSE Daily market report -12 May 2014. In today’s session the benchmark NSE 20 index edged 0.3% higher to close at... http://t.co/RFxKQhhXSh
134,1,South African firm buys stake in Kenyan property... http://t.co/a4tfzYlMI6
135,0,Migori gold prospecting firm raises Sh73m via... http://t.co/p58hSO1lkm
136,0,Treasury to earn KES 4.5bn from National Bank debt... http://t.co/RevXyfyBdK
137,0,"Kenyan lending rates hit a 3-year low, bankers project further... http://t.co/E9xRukrbdt"
138,1,I posted a new photo to Facebook http://t.co/eqkBlGJGQJ
139,1,"Rwanda to allow derivatives trading, offer more incentives for foreign firms... http://t.co/nHBkRkTSuE"
140,0,Shilling slide to 28-month low piles pressure on... http://t.co/UVlYWJHhMm
141,0,UK billionaire to fund East African... http://t.co/usSi9lN9iD
142,0,HF loans Embu water firm KES 87m for new... http://t.co/WGcvb36y9B
143,0,Jubilee signs deal to operate Uganda hydro-power... http://t.co/Vv92H1hF6u
144,1,"NSE Daily market report- 27 May 2014:In today’s session, the market sustained losses from the previous session... http://t.co/W3a6S7Hr37"
145,0,"NSE Daily market report- 26 May2014:In the day’s session,  the bourse turnover rose 31.7% to KES 634.97m with... http://t.co/PIDBWkMCe5"
146,1,"NSE Daily market report- 23 May 2014...At the closing session of the week, the NSE 20 index was up 0.2% to... http://t.co/B9KYszpOPT"
147,1,NSE Daily market report- 22 May 2014...In today’s session the benchmark NSE 20 index edged 0.3% higher to close... http://t.co/kJZSWJozpE
148,0,PPC Seeks New Africa Projects in 75% Capacity... http://t.co/iyVqz74Tib
149,0,"IFC Expands Support to Capital Markets, Access to Finance and Telecommunications in... http://t.co/ohBcRnR6M0"
150,0,"Mbaru, Wanjui block British duo buyout of... http://t.co/7zkjOlB3qK"
151,0,I&amp;M Holdings targets Uganda bank... http://t.co/D6VN0kNbNn
152,0,S&amp;P Dow Jones extends Africa-focused index... http://t.co/X1W60iwAow
153,0,"Kenya’s growth to hit 5.7 per cent this year, says... http://t.co/SYOTubU2VG"
154,0,Pan Africa in plans for 20-storey Westlands office... http://t.co/vheZUOwwPl
155,1,Orange Group sells its stake in Ugandan... http://t.co/ekskUNnQ5X
156,1,Investec Asset Management secures USD 40m stake in Uganda’s... http://t.co/en2yW1NQ7k
157,0,Actis sells stake in Uganda's Umeme for USD 86... http://t.co/0WTcInlTUu
158,1,NSE Daily market report- 19 May 2014:The market was subdued at the week’s opening session as turnover declined... http://t.co/A5tF5RYlrv
159,1,PTA bank in USD 160m loan deal for... http://t.co/cjbqp6WuwY
160,0,Kenya Re now third biggest NBK... http://t.co/eJB0WAQmla
161,0,TransCentury tops up Equity loan to KES... http://t.co/9AuA5i76eH
162,0,KenolKobil lifts freeze on expansion... http://t.co/fwkheNmlep
163,0,Unilever mulls new KES 13 billion factory...http://t.co/rwuKTMOwXU http://t.co/gWA8yEnLPs
164,0,TransCentury pays off Equity with RVR cash...http://t.co/fVdydEnX58
165,0,Naivas plans to list on the NSE in 2016 - source...
166,1,Kenblest plans KES 1bn expansion of Thika mill...http://t.co/GXxjV9051M
167,0,Exim Bank plans to list at least a 30% stake on the DSE next year
168,0,KCB bets on new holding arm for growth...http://t.co/Pl5XmhRnjX
169,0,Co-op Bank eyes Ethiopia joint venture...http://t.co/lEQHcaZGfd
170,0,Firms plan KES 50bn cash calls on rising business confidence...http://t.co/tjUCBJ0ios
171,1,S.Africa economy shrinks prompting recession fears...http://t.co/45dCoKtiYY
172,0,"State to acquire 11,000 acres of land for new rail...http://t.co/7spFFjCI6T"
173,0,National Bank profit up 11pc as bad debts rise...http://t.co/Gpfrp4NTJO
174,1,ABC Bank bond subscribed by 157pc..http://t.co/cmpAJCIncR
175,1,Nyanza oil explorer gets Dar approval for KES 258 million IPO...http://t.co/KcHKv8KHZT
176,1,Toyota wins KES 2.5bn KPA contract to install new cranes..http://t.co/AgW6coGFcx
177,1,Bidco prepares to fight Coca-Cola with KES 2bn plant..http://t.co/jEus4RWE86
178,0,Luxury jet company to open its Africa office in Kigali...http://t.co/ScJG4CvgGT
179,1,"Steelmakers to sell stake in Zimbabwe subsidiary to fund its growth, group CEO says"
180,1,Kenyan firm gets licence for charter flights to China...http://t.co/IzuoWYmUS2
181,1,"Toyota Tsusho to invest USD 1.5 billion in agribusiness:
Toyota Tsusho East Africa plans to put USD 1.5 billion... http://t.co/2dI72cAtuy"
182,1,"I&amp;M budgets KES 1bn for Uganda entry:
I&amp;M Holdings will spend nearly KES 1 billion to set up operations in... http://t.co/7L2BDADoPb"
183,1,Treasury lifts freeze on project spending ahead of... http://t.co/oHrpihSPa5
184,0,Shilling touches 88 to dollar as pressure... http://t.co/xGERTSW3vY
185,0,Centum court order puts Vipingo buyout on... http://t.co/guAIbiXBQN
186,1,Nakumatt edges closer to Shoprite... http://t.co/gsUnmTG9y2
187,1,Investec becomes second largest owner of... http://t.co/jMO8bOc5bO
188,1,EA Cables buys two-acre land for new factory...http://t.co/yZAuEb5hRb
189,1,"Longhorn market value up 30pc in six months, hits KES 1 billion mark..http://t.co/4rMXrYwrE6"
190,1,"Centum shares hit new highs on improved profits, mega projects...http://t.co/aTnAPfRzgp"
191,1,PE firm Actis cuts Umeme stake to 14pc...http://t.co/LjrogZEBOL
192,1,JSE-listed group buys stake in AAR Insurance...http://t.co/kHn0myjzxJ
193,1,Rwanda’s economy to grow by 6%..http://t.co/bhOrIQfF88
194,1,Tanzania: Growth to Be Sustained In 2014: Study - The Citizen
195,0,Uganda: Norwegian company to build 100MW power plant in Hoima...http://t.co/aRBTb8ySWB
196,1,Western companies top list of investors in Kenya..http://t.co/DOKimwwLev
197,0,Jubilee mulls cash call to fund acquisition and merger targets..http://t.co/OKJRoIW11z
198,0,Britam bond first tranche targets KES 4bn in a month..http://t.co/qNm87WdIpq
199,0,"Mumias Sugar, Uchumi dropped from NSE 20 Share Index firms...http://t.co/rQTqxtlvdn"
200,0,Centum cedes 42pc of Two Rivers venture to investors at Sh6bn..http://t.co/hyG6QyWvYT
201,0,Africa the big prize for Abraaj private equity group..http://t.co/Zd7wjAtFL6
202,0,Africa prepares for new wave of bonds...http://t.co/atJw0l0BQ7
203,0,Longhorn to pay second dividend since NSE listing..http://t.co/68CE1X1Eqy
204,1,"Kenya's Centum profit rises, flagship mall progresses..http://t.co/iLJ5pYEGVS"
205,1,CMA Approves Britam’s Issuance of KES 5bn Corporate Bond...http://t.co/aVS1VJeEyv
206,0,Uchumi now postpones rights issue to September...http://t.co/xW254OJuEd
207,1,"Swala IPO Kicks Off Today...
The citizen"
208,1,Velocity Apparel to Establish Textile Factory in Ethiopia...http://t.co/QTwHP3iTtr
209,1,Developer plans Kericho’s biggest shopping complex...http://t.co/K5wZ9CvBxb
210,1,KKR Buys Rose Farm in First Africa Deal...http://t.co/BSRWEjIyyw
211,1,World Bank Approves USD 203 Million for Ethiopian Geothermal Power...http://t.co/0hBBGj6A8x
212,1,Foreign investors’ return lifts bourse turnover 46pc...http://t.co/m7V1LSVUJf
213,0,"Roto tank and Zoe lotion maker plan NSE listing
http://t.co/ZIbxHCWEKY"
214,0,"IMF says Uganda’s economic performance is satisfactory
http://t.co/5ESC9JyUlv"
215,1,"Kenyan economy recovers as firms take up loans
http://t.co/uJmiK1NJM7"
216,1,Kenya to get KES 52bn grant from the EU  http://t.co/BlgmiEKwbw
217,0,Kenya ranked second in Africa as investment hub for global firms  http://t.co/l10NP4FHm3
218,1,NSE growth rides on strong financial and insurance arms  http://t.co/FcF0wAXiJ1
219,1,Chinese business school sets up shop in Nairobi http://t.co/eOE6eDOaTC
220,0,"Crown Paints inks deal with Indian glue-maker
http://t.co/dtGURhjfEq"
221,0,"TransCentury unveils spending plan for KES 4b bounty
http://t.co/0SJ6FZvs6Z"
222,1,"African markets rebound on inflows of foreign capital
http://t.co/uTxjYs7eeV"
223,0,"DHL to Planning to Build Facility in Ethiopia
http://t.co/5RlOmPi28u"
224,0,"Falcon to Manufacture Construction Chemicals in Ethiopia
http://t.co/lNUwbUJwTO"
225,0,"Impeachment threats keep investors at bay
http://t.co/fdPaIqvQ1Q"
226,1,"Jamii Bora in Sh1bn hostels deal with varsity
http://t.co/2lejBtMdKF"
227,1,"Regulator clears DTB to sell 22m shares in rights issue
http://t.co/lzFHrBn6lF"
228,1,"Nyanza gold miner plans to raise KES 8m for expansion
http://t.co/bJ9WnjOaqD"
229,1,"Biyinzika Poultry International stake acquired by 8 Miles
http://t.co/2fVuV0q0R1"
230,1,"Corar 66% stake acquired by Saham for unspecified sum
http://t.co/eFJDxltOt1"
231,1,Nakumatt secures KES 3bn KCB loan for Shoprite buyout - http://t.co/6N9uO0anNa
232,1,"Burbidge Capital's latest Eastern Africa Newsletter - June 2014
..http://t.co/b6SnbUrfEz"
233,1,"World Bank report says East Africa economic growth strong
..http://t.co/HwXpsYTrFh"
234,0,"CS Henry Rotich reveals plans to cut interest rates
..http://t.co/8qnhsbsCZO"
235,0,Xtouch Consumer Electronics Brand Enters Kenyan Market...http://t.co/1xQ11ii8hu
236,1,"French group Danone buys 40pc stake in Brookside
http://t.co/LkXh3bvYNd"
237,1,#teambuilding http://t.co/eNUulgcRcz
238,1,#Safaricom7s sponsorship http://t.co/PeamPZu0Io
239,0,#Endyearparty http://t.co/LCfM6a1Kg2
240,0,http://t.co/polSVouZyI
241,0,BC #teambuilding http://t.co/crDudHDFlA
242,0,#LFS #bcfc http://t.co/BFIRdPwezj
243,0,#LFS 2013 season http://t.co/tdVReT9C7c
244,0,#BCFC 2013 season http://t.co/oIBi9yCZQu
245,0,"Brics nations to create USD 100bn development bank
http://t.co/M6Zz34kyvV"
246,0,"African Banks Provided Highest Return on Capital In 2013
http://t.co/eENxUOml1Y"
247,0,"Rea Vipingo bid down to two horse race after ruling
http://t.co/IPDJqS3QHt"
248,1,"Nigerian company’s KES 25bn bid for Telkom raises queries on valuation
http://t.co/SEofzn5iK1"
249,0,"Housing Finance says H1 profit up 18 pct
http://t.co/ahcJuNqKia"
250,0,"Clean energy firm releases KES 1.75bn for small ventures
http://t.co/etyGoSHuzC"
251,0,"How man made Sh2 billion fortune from water tanks
http://t.co/yYXyFL9QvF"
252,0,RT @EFGInt: The Eastern #Africa Newsletter by @BurbidgeCapital - worth a follow for anyone interested in the African market http://t.co/2Fs…
253,0,Our latest newsletter is out. Please note this month we have added a one-off special feature on listing on GEMS: http://t.co/KyfJ7deEQ4
254,0,"Capital Eye to Launch New ICT Fund
http://t.co/B5SzRUXLFI"
255,0,"S&amp;P sees more ratings for Nigerian, Kenyan companies
http://t.co/uB0dIoT9aa"
256,0,"StarTimes to set up KES 7bn centre in nairobi
http://t.co/B56WXMD5tB"
257,1,"More firms seek listing on the bourse 
http://t.co/RIivSepEsM"
258,0,RT @CapitalFM_kenya: Flame Tree Group to list on Nairobi bourse http://t.co/xHv3cuLURI
259,1,"Coca Cola to invest USD 5bn in Africa
http://t.co/G6hRsuK5f9"
260,0,"FDI into Uganda up 24pc
http://t.co/Rx9P9svQBO"
261,1,"HF sells Britam stake amid acquisition talks
http://t.co/ssS2RjLyFs"
262,0,Mode hunt acquisitions and JV partners
263,0,The Eastern Africa newsletter-August 2014 sponsored by @EFGInt has now been published. Please read it here; http://t.co/9exQ07XMgr
264,0,Equity Bank rakes in KES 7.7bn profit for six months-http://t.co/fo4B46KJzm
265,0,Kenya's KCB first-half pretax profit rises 16 pct-http://t.co/lPGlNXLfnY
266,0,Centum records 22pc jump in post tax profit-http://t.co/kq15GRELc0
267,0,Centum paid KES 1 billion for stake in Genesis
268,0,NSE seeks licence for new futures exchange-http://t.co/LjNVje9cyh
269,0,Kenya Women Bank gears up to offload shares to members-http://t.co/QJQ2rmvIXn
270,1,Swala to take excess funds from Dar IPO-http://t.co/pcXRpMub33
271,1,Kenya Wine sells KES 126m Uchumi Supermarket stake in latest exit deal-http://t.co/QNEtYjcWhD
272,1,Group acquires 49pc stake in Phoenix Aviation-http://t.co/hYm1Zj4jZF
273,0,Cost of capital holds back growth of businesses in East Africa-http://t.co/r5r1QZBy5J
274,0,Uganda’s Umeme biggest gainer at the bourse in July-http://t.co/OaKfY2bHIx
275,0,Kone buys elevator and escalator business of Marryat &amp; Scott (Kenya) and Marryats East Africa
276,1,SWALA IPO Oversubscribed By TZS 2 Bn - The Citizen
277,0,"NSE launches IPO with expansion on the cards
http://t.co/MHgzqxiwfv"
278,1,"AfricInvest Group partners with FMO, MicroVest II, LP &amp; Finnfund to form SFC Finance http://t.co/ncYtvOyMPz"
279,0,"IFC to partner with Brookside investor
http://t.co/oVxQOPD7pw"
280,1,"Ford targets ‘final frontier’ of Africa and Middle East  
http://t.co/X2lBtshhtC"
281,1,"High liquidity in debt market pushes down Treasury bill interest rates
http://t.co/wKBqTefa7D"
282,0,"Nairobi startups to benefit from KES 30m revolving fund
http://t.co/pV40kkmNtm"
283,0,"UAP Group to issue REIT product by December
http://t.co/5WcSzDaKJZ"
284,0,East Africa Portland Cement Company to Enter Tanzanian... http://t.co/B0l863KlNe
285,0,KES 86bn to boost Kenya Power... http://t.co/Jf1LpAqPvv
286,0,Treasury delay in Eurobond issue to hurt... http://t.co/gOH9GNxY2s
287,1,Tanzania's Tigo starts cross-border mobile money transfer... http://t.co/cvShqHcDzp
288,0,"Rwanda, Ghana ink bilateral trade deal...http://t.co/EdWGJC1CiU http://t.co/YZSuCBSXui"
289,1,"Convergence Partners Invest in 4Di Capital Fund 1, Transfer Tech... http://t.co/hUBKTX9wJf"
290,0,"MTN, Sonatel Lead Tower Sales in Sub-Saharan... http://t.co/Gvf180GdJX"
291,0,Standard Chartered Says 16% Africa Revenue Growth Is... http://t.co/WQuilQs2A5
292,0,PIC Says Camac Investment Is Paying Off for South... http://t.co/xrc2fn0BJh
293,0,"Hyprop to Spend 3 Billion Rand Building, Buying Malls in... http://t.co/5xeyTcF6ds"
294,0,EADB to issue KES10.6bn bond across East... http://t.co/UpKWtkoFJu
295,1,Tanzania: Firms sign graphite mining... http://t.co/WmijiauX6h
296,1,Thika assembler to start making Africa’s cheapest vehicle by... http://t.co/ZqK3L6Llod
297,1,Banks feel the heat of new CBK order on bad... http://t.co/jDmP1S1xBs
298,1,"Kenya in USD 235m manufacturing plan to boost key sectors, revive... http://t.co/ksXeVSYXFj"
299,0,Treasury plans negotiations to delay payment of syndicated... http://t.co/2SHr0ve9ru
300,0,Exports see Longhorn’s profit rise by... http://t.co/q2N7qrlbe9
301,0,UAP eyes KES 1bn rent from real estate... http://t.co/NR6o734aF8
302,0,Real Insurance buyout aids Britam to close gap with... http://t.co/E28pXKmuPN
303,0,Turkana oil find attracts US private security... http://t.co/ffqNBqNFFs
304,1,HF backs Delamere shopping mall with KES 425m... http://t.co/mowTEj5h7K
305,1,China-Africa trade surpassed KES 17.2 trillion in... http://t.co/5ynGnlTZfs
306,0,Citigroup Sees M&amp;A Pickup in Africa as Bank Plans... http://t.co/RFNe2GXpDZ
307,0,Fitch Affirms Uganda at 'B'; Outlook... http://t.co/wiyLZcvrzZ
308,1,"Safaricom shareholders approve KES 7bn yuMobile buyout
http://t.co/lheE0YNuJs"
309,0,"British insurance firm buys Blue Shield arm Assurance
http://t.co/ucUfm4yobj"
310,0,"Broll acquisition raises Centum stake in real estate
http://t.co/Ml4zCDDr9A
/539552/2449728/-/item/1/-/6e0qm7z/-/index.html"
311,0,"LeapFrog to invest KES 9bn in financial market firms
http://t.co/n2VjjiQ8f5"
312,0,"Newly listed NSE share gains Sh6 above offer price
http://t.co/P0J1sicwtZ"
313,0,"City Lodge buys out remaining Fairview stake for KES 1.88bn
http://t.co/5AIm7P0ViR"
314,0,"Rwanda: Private sector urged to use local bourse to raise investment capital
http://t.co/LVu5LUQdCL"
